model,ticker,mae,rmse,mase,dir_acc,sharpe
Ens-DynWt,TSM,10.1126,11.4573,2.3323,0.55,-1.7695
Ens-DynWt,NVDA,4.8528,5.4739,1.6326,0.5567,3.8625
Ens-DynWt,AMD,10.4728,12.0357,2.5067,0.4767,0.6786
Ens-DynWt,INTC,2.5484,2.8984,3.0936,0.4767,-1.919
Ens-DynWt,ASML,49.1158,55.4048,3.003,0.3967,-0.4269
Ens-DynWt,AVGO,9.4328,10.6301,1.5842,0.6033,1.3377
Ens-DynWt,QCOM,4.162,4.6726,1.7313,0.4467,1.1062
Ens-DynWt,AAPL,5.6496,6.4548,2.0145,0.5967,-0.6426
Ens-DynWt,MSFT,12.1432,13.5968,2.595,0.4567,0.8779
Ens-DynWt,GOOGL,7.6631,8.6348,2.4352,0.4967,0.1119
Ens-DynWt,AMZN,6.2801,7.1287,1.9219,0.4467,-2.4648
Ens-DynWt,META,19.7619,22.6554,1.8917,0.5967,0.7688
Ens-DynWt,SPY,6.597,7.6927,1.5208,0.5567,-0.5376
Ens-DynWt,QQQ,7.9601,9.2075,1.6127,0.4767,-0.4182
Ens-DynWt,SOXX,9.1514,10.4183,2.2557,0.3967,-1.7529
Ens-MajVote,TSM,10.2066,11.4858,2.352,0.59,-0.5749
Ens-MajVote,NVDA,4.8916,5.5345,1.6453,0.52,1.2058
Ens-MajVote,AMD,10.6298,12.1741,2.5462,0.47,0.3302
Ens-MajVote,INTC,2.5787,2.9275,3.1274,0.48,-0.4182
Ens-MajVote,ASML,52.5341,58.9316,3.2168,0.37,-1.3474
Ens-MajVote,AVGO,9.6805,10.8874,1.6262,0.5367,1.2122
Ens-MajVote,QCOM,4.273,4.8033,1.7777,0.4267,-1.7291
Ens-MajVote,AAPL,5.7601,6.5777,2.0538,0.53,-2.0699
Ens-MajVote,MSFT,12.332,13.7942,2.6332,0.4267,2.8654
Ens-MajVote,GOOGL,7.7289,8.7132,2.4556,0.5,-1.5494
Ens-MajVote,AMZN,6.3174,7.1907,1.9331,0.48,0.2665
Ens-MajVote,META,19.6073,22.4591,1.8771,0.5967,0.5236
Ens-MajVote,SPY,6.6242,7.7414,1.5277,0.54,0.5748
Ens-MajVote,QQQ,7.9381,9.1736,1.6082,0.4967,0.6451
Ens-MajVote,SOXX,9.3233,10.5851,2.2994,0.4033,-0.8905
